workerid,condition,browser,gender,age,showEarlierWheelFirst,order.1,order.2,order.3,order.4,order.5,askAboutLeftWheelFirst.1,askAboutLeftWheelFirst.2,askAboutLeftWheelFirst.3,askAboutLeftWheelFirst.4,askAboutLeftWheelFirst.5,showFirstOfPairFirst.1,showFirstOfPairFirst.2,showFirstOfPairFirst.3,showFirstOfPairFirst.4,showFirstOfPairFirst.5,spinnerPairID.1,spinnerPairID.2,spinnerPairID.3,spinnerPairID.4,spinnerPairID.5,spinnerPairCode.1,spinnerPairCode.2,spinnerPairCode.3,spinnerPairCode.4,spinnerPairCode.5,spinnerID_1.1,spinnerID_1.2,spinnerID_1.3,spinnerID_1.4,spinnerID_1.5,payoff1_1.1,payoff1_1.2,payoff1_1.3,payoff1_1.4,payoff1_1.5,payoff2_1.1,payoff2_1.2,payoff2_1.3,payoff2_1.4,payoff2_1.5,payoff3_1.1,payoff3_1.2,payoff3_1.3,payoff3_1.4,payoff3_1.5,prob1_1.1,prob1_1.2,prob1_1.3,prob1_1.4,prob1_1.5,prob2_1.1,prob2_1.2,prob2_1.3,prob2_1.4,prob2_1.5,prob3_1.1,prob3_1.2,prob3_1.3,prob3_1.4,prob3_1.5,winChoice_1.1,winChoice_1.2,winChoice_1.3,winChoice_1.4,winChoice_1.5,win_1.1,win_1.2,win_1.3,win_1.4,win_1.5,winProb_1.1,winProb_1.2,winProb_1.3,winProb_1.4,winProb_1.5,spinnerID_2.1,spinnerID_2.2,spinnerID_2.3,spinnerID_2.4,spinnerID_2.5,payoff1_2.1,payoff1_2.2,payoff1_2.3,payoff1_2.4,payoff1_2.5,payoff2_2.1,payoff2_2.2,payoff2_2.3,payoff2_2.4,payoff2_2.5,payoff3_2.1,payoff3_2.2,payoff3_2.3,payoff3_2.4,payoff3_2.5,prob1_2.1,prob1_2.2,prob1_2.3,prob1_2.4,prob1_2.5,prob2_2.1,prob2_2.2,prob2_2.3,prob2_2.4,prob2_2.5,prob3_2.1,prob3_2.2,prob3_2.3,prob3_2.4,prob3_2.5,winChoice_2.1,winChoice_2.2,winChoice_2.3,winChoice_2.4,winChoice_2.5,win_2.1,win_2.2,win_2.3,win_2.4,win_2.5,winProb_2.1,winProb_2.2,winProb_2.3,winProb_2.4,winProb_2.5,angleProportion_1.1,angleProportion_1.2,angleProportion_1.3,angleProportion_1.4,angleProportion_1.5,angleProportion_2.1,angleProportion_2.2,angleProportion_2.3,angleProportion_2.4,angleProportion_2.5,attentionCheck1.1,attentionCheck1.2,attentionCheck1.3,attentionCheck1.4,attentionCheck1.5,attentionCheck2.1,attentionCheck2.2,attentionCheck2.3,attentionCheck2.4,attentionCheck2.5,attentionCheck1Time.1,attentionCheck1Time.2,attentionCheck1Time.3,attentionCheck1Time.4,attentionCheck1Time.5,attentionCheck2Time.1,attentionCheck2Time.2,attentionCheck2Time.3,attentionCheck2Time.4,attentionCheck2Time.5,reactionTime.1,reactionTime.2,reactionTime.3,reactionTime.4,reactionTime.5,happy1.1,happy1.2,happy1.3,happy1.4,happy1.5,sad1.1,sad1.2,sad1.3,sad1.4,sad1.5,content1.1,content1.2,content1.3,content1.4,content1.5,disapp1.1,disapp1.2,disapp1.3,disapp1.4,disapp1.5,relief1.1,relief1.2,relief1.3,relief1.4,relief1.5,regret1.1,regret1.2,regret1.3,regret1.4,regret1.5,happy2.1,happy2.2,happy2.3,happy2.4,happy2.5,sad2.1,sad2.2,sad2.3,sad2.4,sad2.5,content2.1,content2.2,content2.3,content2.4,content2.5,disapp2.1,disapp2.2,disapp2.3,disapp2.4,disapp2.5,relief2.1,relief2.2,relief2.3,relief2.4,relief2.5,regret2.1,regret2.2,regret2.3,regret2.4,regret2.5,happy3.1,happy3.2,happy3.3,happy3.4,happy3.5,sad3.1,sad3.2,sad3.3,sad3.4,sad3.5,content3.1,content3.2,content3.3,content3.4,content3.5,disapp3.1,disapp3.2,disapp3.3,disapp3.4,disapp3.5,relief3.1,relief3.2,relief3.3,relief3.4,relief3.5,regret3.1,regret3.2,regret3.3,regret3.4,regret3.5
11,1,Chrome,M,24,0,1,2,3,4,5,1,0,0,1,1,1,1,0,0,0,3,5,7,9,6,23,13,11,22,31,8,37,19,29,46,15,20,25,40,55,70,50,45,65,70,80,90,80,100,85,0.49,0.28,0.31,0.38,0.26,0.27,0.19,0.32,0.34,0.53,0.24,0.53,0.37,0.28,0.21,2,1,1,2,1,70,20,25,65,55,0.27,0.28,0.31,0.34,0.26,3,15,43,26,21,0,30,10,15,25,30,50,50,50,45,60,95,75,75,80,0.41,0.3,0.55,0.24,0.3,0.37,0.3,0.28,0.4,0.3,0.22,0.4,0.17,0.36,0.4,3,3,1,2,3,60,95,10,50,80,0.22,0.4,0.55,0.4,0.4,0.244,0.127,0.082,0.242,0.557,0.176,0.478,0.704,0.21,0.103,70,20,25,65,55,60,95,10,50,80,10,2,2,2,2,2,10,10,10,10,72421,46356,42566,41631,47548,7,4,4,6,4,2,3,3,3,4,7,4,4,6,4,2,5,5,3,6,6,3,3,5,4,2,5,5,3,5,8,8,4,7,8,1,2,3,3,2,8,8,4,7,8,1,2,7,3,2,6,6,4,5,6,1,2,6,3,2,8,7,3,7,7,2,2,3,3,3,8,7,3,7,7,2,2,7,3,3,6,5,4,6,6,2,2,6,3,3
12,1,Firefox,M,22,1,1,2,3,4,5,1,0,0,1,0,1,0,0,1,1,2,4,8,9,3,21,32,22,22,23,41,23,50,26,8,0,20,50,15,15,40,60,75,50,70,95,90,90,75,80,0.27,0.34,0.32,0.24,0.49,0.4,0.22,0.5,0.4,0.27,0.33,0.44,0.18,0.36,0.24,2,2,2,2,2,40,60,75,50,70,0.4,0.22,0.5,0.4,0.27,31,36,11,29,3,45,30,20,40,0,60,50,45,65,30,90,90,70,100,60,0.54,0.39,0.41,0.38,0.41,0.3,0.25,0.35,0.34,0.37,0.16,0.36,0.24,0.28,0.22,1,3,2,2,3,45,90,45,65,60,0.54,0.36,0.35,0.34,0.22,0.021,0.586,0.157,0.277,0.823,0.403,0.745,0.067,0.004,0.375,40,60,75,50,70,45,90,45,65,60,10,2,2,10,10,2,10,10,2,2,69834,63340,43408,55164,57529,8,8,7,7,6,1,1,1,3,1,5,5,4,5,7,1,1,1,2,3,7,7,6,6,6,3,1,1,1,1,9,9,6,9,7,1,1,2,1,2,4,7,4,6,4,1,1,3,3,3,5,9,4,8,5,2,1,3,1,2,7,6,7,9,5,2,1,2,2,3,6,5,5,8,4,1,2,1,4,2,4,6,6,7,6,1,1,3,1,3
13,1,Chrome,M,35,0,1,2,3,4,5,0,0,0,0,0,1,0,1,0,0,10,9,7,5,8,33,22,11,13,22,9,29,43,15,50,15,40,10,30,50,70,65,50,50,75,80,100,75,95,90,0.45,0.38,0.55,0.3,0.32,0.29,0.34,0.28,0.3,0.5,0.26,0.28,0.17,0.4,0.18,3,2,1,3,2,80,65,10,95,75,0.26,0.34,0.55,0.4,0.5,18,26,19,37,11,25,15,25,20,20,60,50,45,50,45,100,75,80,90,70,0.43,0.24,0.31,0.28,0.41,0.35,0.4,0.32,0.19,0.35,0.22,0.36,0.37,0.53,0.24,3,2,1,1,2,100,50,25,20,45,0.22,0.4,0.31,0.28,0.35,0.175,0.678,0.025,0.247,0.523,0.798,0.116,0.661,0.608,0.522,80,65,10,95,75,,50,25,20,45,2,2,2,2,2,10,10,10,10,10,90953,108181,74937,83883,67886,9,5,1,9,3,1,1,1,1,1,9,3,1,9,4,1,1,7,1,3,9,1,1,9,1,1,1,1,1,1,9,5,1,1,3,1,1,1,1,1,9,3,1,1,4,1,3,6,7,3,9,1,1,1,1,1,1,1,1,1,9,5,1,6,3,1,1,1,1,1,9,4,1,3,2,1,3,9,3,4,9,1,1,1,1,1,1,1,1,1
14,1,Chrome,F,52,1,1,2,3,4,5,0,1,1,0,1,1,0,1,0,0,10,7,1,3,9,33,11,12,23,22,9,19,4,3,29,15,25,10,0,40,70,45,35,30,65,80,80,75,60,100,0.45,0.31,0.5,0.41,0.38,0.29,0.32,0.31,0.37,0.34,0.26,0.37,0.19,0.22,0.28,3,1,1,3,2,80,25,10,60,65,0.26,0.31,0.5,0.22,0.34,18,43,11,8,26,25,10,20,15,15,60,50,45,70,50,100,75,70,80,75,0.43,0.55,0.41,0.49,0.24,0.35,0.28,0.35,0.27,0.4,0.22,0.17,0.24,0.24,0.36,3,1,2,2,2,100,10,45,70,50,0.22,0.55,0.35,0.27,0.4,0.064,0.625,0.053,0.251,0.009,0.574,0.087,0.574,0.983,0.198,80,25,10,60,65,100,10,45,70,50,10,10,10,10,10,2,2,2,2,2,99011,82351,82029,57741,72923,9,1,1,9,8,1,9,9,1,2,9,1,1,9,8,1,9,9,1,2,9,1,1,9,8,1,9,9,1,2,9,1,6,8,8,1,9,2,1,2,9,1,7,8,8,1,9,3,1,3,9,1,7,9,8,1,9,3,1,2,8,1,7,9,8,1,9,2,1,2,8,1,7,9,8,1,9,4,1,2,9,1,4,9,8,1,9,5,1,1
15,1,Chrome,M,24,0,1,2,3,4,5,0,0,1,1,1,1,1,1,0,1,9,3,6,1,7,22,23,31,12,11,26,8,21,11,43,15,15,25,20,10,50,70,45,45,50,75,80,80,70,75,0.24,0.49,0.3,0.41,0.55,0.4,0.27,0.3,0.35,0.28,0.36,0.24,0.4,0.24,0.17,2,2,3,2,1,50,70,80,45,10,0.4,0.27,0.4,0.35,0.55,29,3,46,4,19,40,0,55,10,25,65,30,70,35,45,100,60,85,75,80,0.38,0.41,0.26,0.5,0.31,0.34,0.37,0.53,0.31,0.32,0.28,0.22,0.21,0.19,0.37,2,3,1,1,1,65,60,55,10,25,0.34,0.22,0.26,0.5,0.31,0.985,0.957,0.038,0.653,0.489,0.059,0.15,0.66,0.3,0.8,50,70,80,45,10,65,60,55,10,25,2,2,2,2,2,10,10,10,10,10,77911,55685,68300,66519,59500,8,7,9,6,3,1,1,1,2,5,7,6,8,4,2,2,2,1,4,8,8,8,9,3,1,2,3,1,2,6,4,9,5,2,3,3,1,4,7,6,5,8,5,2,3,6,1,7,9,8,3,9,3,1,2,4,1,4,7,4,7,8,7,3,3,1,1,2,5,6,6,8,6,2,1,2,1,4,8,9,6,9,7,5,1,2,2,2,5,7
16,1,Chrome,M,25,0,1,2,3,4,5,0,0,1,0,1,1,0,0,1,0,6,9,2,1,4,31,22,21,12,32,21,29,31,4,23,25,40,45,10,20,45,65,60,35,60,80,100,90,75,90,0.3,0.38,0.54,0.5,0.34,0.3,0.34,0.3,0.31,0.22,0.4,0.28,0.16,0.19,0.44,3,2,1,1,2,80,65,45,10,60,0.4,0.34,0.54,0.5,0.22,46,26,41,11,36,55,15,0,20,30,70,50,40,45,50,85,75,95,70,90,0.26,0.24,0.27,0.41,0.39,0.53,0.4,0.4,0.35,0.25,0.21,0.36,0.33,0.24,0.36,1,2,2,2,3,55,50,40,45,90,0.26,0.4,0.4,0.35,0.36,0.966,0.514,0.279,0.47,0.078,0.628,0.472,0.626,0.032,0.053,80,65,45,10,60,55,50,40,45,90,2,2,2,2,2,10,10,10,10,10,78947,48135,58127,61692,51277,9,7,6,5,7,1,2,2,4,1,9,6,6,3,6,1,2,4,8,2,9,5,4,2,5,1,1,3,5,1,7,7,7,7,9,1,1,1,1,1,6,7,7,6,9,2,2,2,3,1,6,8,9,4,5,1,1,1,1,1,9,8,7,6,9,1,1,1,2,1,9,8,6,5,9,1,2,3,4,1,9,7,9,4,5,1,1,1,2,1
17,1,Chrome,M,30,1,1,2,3,4,5,0,1,0,0,0,0,0,0,1,1,3,1,6,8,4,23,12,31,22,32,3,11,46,11,36,0,20,55,20,30,30,45,70,45,50,60,70,85,70,90,0.41,0.41,0.26,0.41,0.39,0.37,0.35,0.53,0.35,0.25,0.22,0.24,0.21,0.24,0.36,3,2,1,2,3,60,45,55,45,90,0.22,0.35,0.26,0.35,0.36,8,4,21,50,23,15,10,25,50,20,70,35,45,75,60,80,75,80,90,90,0.49,0.5,0.3,0.32,0.34,0.27,0.31,0.3,0.5,0.22,0.24,0.19,0.4,0.18,0.44,2,1,3,2,2,70,10,80,75,60,0.27,0.5,0.4,0.5,0.22,0.182,0.596,0.318,0.089,0.546,0.229,0.483,0.786,0.813,0.921,60,45,55,45,90,70,10,80,75,60,10,10,10,10,10,2,2,2,2,2,85952,61533,66094,59583,49490,9,5,5,5,9,1,3,3,4,1,9,6,6,5,9,1,3,3,3,1,9,2,3,3,7,1,5,5,4,1,8,1,9,7,7,1,8,1,2,2,9,1,6,7,8,2,9,1,3,2,9,3,6,4,5,1,9,2,3,3,9,2,6,6,8,1,8,2,3,2,9,2,6,7,7,1,8,3,3,1,8,3,3,4,4,1,8,3,3,2
18,1,Chrome,M,32,1,1,2,3,4,5,0,0,0,0,0,1,1,0,1,0,6,5,7,3,8,31,13,11,23,22,21,37,19,8,50,25,20,25,15,50,45,50,45,70,75,80,90,80,80,90,0.3,0.28,0.31,0.49,0.32,0.3,0.19,0.32,0.27,0.5,0.4,0.53,0.37,0.24,0.18,3,1,1,2,2,80,20,25,70,75,0.4,0.28,0.31,0.27,0.5,46,15,43,3,11,55,30,10,0,20,70,50,50,30,45,85,95,75,60,70,0.26,0.3,0.55,0.41,0.41,0.53,0.3,0.28,0.37,0.35,0.21,0.4,0.17,0.22,0.24,1,3,1,3,2,55,95,10,60,45,0.26,0.4,0.55,0.22,0.35,0.39,0.369,0.493,0.184,0.051,0.5,0.81,0.822,0.43,0.208,80,20,25,70,75,55,95,10,60,45,10,10,10,10,10,2,2,2,2,2,87799,60799,78918,56366,62906,9,3,3,7,6,2,7,7,3,4,8,2,2,9,5,2,8,6,4,7,9,1,3,6,3,4,6,8,3,3,3,8,2,9,5,5,3,8,3,4,4,6,1,6,4,8,2,8,2,6,2,6,2,9,4,6,4,9,3,3,6,5,2,9,6,4,6,7,2,4,8,4,1,7,5,6,8,6,3,6,3,3,1,5,4,4,6,9,1,4
19,1,Safari,F,30,0,1,2,3,4,5,1,1,0,0,0,1,1,1,0,1,9,4,6,5,1,22,32,31,13,12,26,36,21,15,4,15,30,25,30,10,50,50,45,50,35,75,90,80,95,75,0.24,0.39,0.3,0.3,0.5,0.4,0.25,0.3,0.3,0.31,0.36,0.36,0.4,0.4,0.19,2,3,3,3,1,50,90,80,95,10,0.4,0.36,0.4,0.4,0.5,29,23,46,37,11,40,20,55,20,20,65,60,70,50,45,100,90,85,90,70,0.38,0.34,0.26,0.28,0.41,0.34,0.22,0.53,0.19,0.35,0.28,0.44,0.21,0.53,0.24,2,2,1,1,2,65,60,55,20,45,0.34,0.22,0.26,0.28,0.35,0.245,0.432,0.701,0.606,0.997,0.766,0.068,0.476,0.077,0.205,50,90,80,95,10,65,60,55,90,45,2,2,2,2,2,10,10,10,10,10,107627,126224,99475,71993,79623,9,9,9,9,2,1,1,1,1,7,9,9,9,9,1,1,1,1,1,7,4,9,9,9,1,1,1,1,1,8,8,8,7,9,6,1,1,1,1,2,9,8,7,9,6,1,1,2,1,2,5,8,1,9,2,1,1,1,1,4,9,9,9,9,2,1,1,1,1,5,9,9,9,9,2,1,1,1,1,5,4,6,4,9,2,1,1,1,1,4
20,1,Chrome,M,25,1,1,2,3,4,5,0,1,1,1,0,0,1,1,0,1,4,7,8,9,10,32,11,22,22,33,23,43,11,29,9,20,10,20,40,15,60,50,45,65,70,90,75,70,100,80,0.34,0.55,0.41,0.38,0.45,0.22,0.28,0.35,0.34,0.29,0.44,0.17,0.24,0.28,0.26,2,1,2,2,3,60,10,45,65,80,0.22,0.55,0.35,0.34,0.26,36,19,50,26,18,30,25,50,15,25,50,45,75,50,60,90,80,90,75,100,0.39,0.31,0.32,0.24,0.43,0.25,0.32,0.5,0.4,0.35,0.36,0.37,0.18,0.36,0.22,3,1,2,2,3,90,25,75,50,100,0.36,0.31,0.5,0.4,0.22,0.986,0.915,0.255,0.747,0.241,0.466,0.044,0.69,0.225,0.578,90,10,20,40,80,50,25,90,50,100,10,10,10,10,10,2,2,2,2,2,74566,52884,44237,46391,69027,6,3,5,6,6,1,5,3,1,1,5,3,4,6,6,1,6,2,1,1,2,5,2,1,1,1,4,3,1,1,6,6,5,6,6,1,1,2,1,1,6,5,6,6,6,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,6,5,6,6,7,1,1,1,2,1,6,5,5,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,1,Chrome,F,33,0,1,2,3,4,5,0,1,0,1,0,1,1,0,1,0,4,8,2,3,6,32,22,21,23,31,36,11,31,8,46,30,20,45,15,55,50,45,60,70,70,90,70,90,80,85,0.39,0.41,0.54,0.49,0.26,0.25,0.35,0.3,0.27,0.53,0.36,0.24,0.16,0.24,0.21,3,2,1,2,1,90,45,45,70,55,0.36,0.35,0.54,0.27,0.26,23,50,41,3,21,20,50,0,0,25,60,75,40,30,45,90,90,95,60,80,0.34,0.32,0.27,0.41,0.3,0.22,0.5,0.4,0.37,0.3,0.44,0.18,0.33,0.22,0.4,2,2,2,3,3,60,75,40,60,80,0.22,0.5,0.4,0.22,0.4,0.149,0.324,0.964,0.328,0.447,0.921,0.335,0.108,0.019,0.556,90,45,45,70,55,60,75,40,60,80,2,2,2,2,2,10,10,10,10,10,105146,68497,69866,72785,59540,9,7,3,7,5,1,3,6,1,3,9,7,3,8,3,1,3,7,2,5,7,3,3,4,1,1,4,5,1,4,7,6,7,7,9,2,3,2,2,1,7,7,6,6,9,2,4,2,1,1,4,2,5,6,6,2,3,2,2,1,8,7,6,8,6,2,3,2,1,3,9,5,8,7,5,2,6,2,1,3,6,4,4,4,2,1,2,2,2,4
22,1,Firefox,M,49,1,1,2,3,4,5,0,1,1,1,0,1,0,0,0,0,3,4,5,9,10,23,32,13,22,33,8,23,15,29,18,15,20,30,40,25,70,60,50,65,60,80,90,95,100,100,0.49,0.34,0.3,0.38,0.43,0.27,0.22,0.3,0.34,0.35,0.24,0.44,0.4,0.28,0.22,2,2,3,2,3,70,60,95,65,100,0.27,0.22,0.4,0.34,0.22,3,36,37,26,9,0,30,20,15,15,30,50,50,50,70,60,90,90,75,80,0.41,0.39,0.28,0.24,0.45,0.37,0.25,0.19,0.4,0.29,0.22,0.36,0.53,0.36,0.26,3,3,1,2,3,60,90,20,50,80,0.22,0.36,0.28,0.4,0.26,0.077,0.853,0.084,0.908,0.31,0.431,0.281,0.333,0.885,0.113,150,60,95,65,100,60,90,20,50,80,2,10,10,10,10,10,2,2,2,2,77906,50954,38262,44458,131293,8,7,8,7,7,3,3,1,3,3,8,7,7,7,6,2,3,2,3,3,8,7,7,7,6,2,2,2,2,3,6,7,5,6,8,2,3,4,2,2,7,7,5,7,8,2,2,4,3,2,7,7,5,7,8,3,2,4,2,2,5,6,5,7,6,4,5,4,3,3,5,6,5,8,6,4,5,4,3,3,5,6,5,7,6,4,5,4,2,3
23,1,Chrome,M,31,0,1,2,3,4,5,1,1,1,1,1,1,1,1,0,0,2,9,1,7,8,21,22,12,11,22,41,26,4,19,50,0,15,10,25,50,40,50,35,45,75,95,75,75,80,90,0.27,0.24,0.5,0.31,0.32,0.4,0.4,0.31,0.32,0.5,0.33,0.36,0.19,0.37,0.18,2,2,1,1,2,40,50,10,25,75,0.4,0.4,0.5,0.31,0.5,31,29,11,43,11,45,40,20,10,20,60,65,45,50,45,90,100,70,75,70,0.54,0.38,0.41,0.55,0.41,0.3,0.34,0.35,0.28,0.35,0.16,0.28,0.24,0.17,0.24,1,2,2,1,2,45,65,45,10,45,0.54,0.34,0.35,0.55,0.35,0.686,0.151,0.129,0.048,0.844,0.191,0.536,0.637,0.794,0.574,40,50,10,25,75,45,65,45,10,45,2,2,2,2,2,10,10,10,10,10,133295,72334,48951,56501,51766,7,7,2,2,7,2,2,7,8,1,8,8,2,2,9,4,2,8,7,1,5,7,1,2,7,3,3,8,9,1,2,7,6,1,6,7,2,2,8,4,3,7,7,1,6,8,3,3,9,4,3,6,7,1,6,7,2,2,8,4,6,6,6,2,7,4,2,3,7,2,7,7,7,2,7,5,2,3,9,2,6,7,7,1,7,4,2,2,8,2
24,1,Chrome,M,22,1,1,2,3,4,5,0,1,1,0,0,0,0,1,1,0,4,6,2,9,8,32,31,21,22,22,23,46,41,26,50,20,55,0,15,50,60,70,40,50,75,90,85,95,75,90,0.34,0.26,0.27,0.24,0.32,0.22,0.53,0.4,0.4,0.5,0.44,0.21,0.33,0.36,0.18,2,1,2,2,2,60,55,40,50,75,0.22,0.26,0.4,0.4,0.5,36,21,31,29,11,30,25,45,40,20,50,45,60,65,45,90,80,90,100,70,0.39,0.3,0.54,0.38,0.41,0.25,0.3,0.3,0.34,0.35,0.36,0.4,0.16,0.28,0.24,3,3,1,2,2,90,80,45,65,45,0.36,0.4,0.54,0.34,0.35,0.085,0.612,0.757,0.959,0.547,0.439,0.8,0.882,0.06,0.035,60,55,40,50,75,90,80,45,65,45,10,10,10,10,10,2,2,2,2,2,81920,52305,51081,51373,42736,7,5,7,7,7,2,1,2,2,3,7,7,8,7,7,2,2,2,2,3,5,8,9,7,7,3,2,1,2,3,8,9,5,6,8,1,1,7,3,1,7,9,4,7,8,2,1,7,4,2,7,9,4,6,9,2,2,7,5,2,9,8,6,7,8,2,2,2,3,2,8,8,6,7,8,1,2,3,3,3,9,8,6,7,7,1,2,4,3,3
25,1,Chrome,F,29,0,1,2,3,4,5,1,0,0,0,0,0,1,1,1,1,10,8,4,7,2,33,22,32,11,21,18,11,36,43,41,25,20,30,10,0,60,45,50,50,40,100,70,90,75,95,0.43,0.41,0.39,0.55,0.27,0.35,0.35,0.25,0.28,0.4,0.22,0.24,0.36,0.17,0.33,3,2,3,1,2,100,45,90,10,40,0.22,0.35,0.36,0.55,0.4,9,50,23,19,31,15,50,20,25,45,70,75,60,45,60,80,90,90,80,90,0.45,0.32,0.34,0.31,0.54,0.29,0.5,0.22,0.32,0.3,0.26,0.18,0.44,0.37,0.16,3,2,2,1,1,80,75,60,25,45,0.26,0.5,0.22,0.31,0.54,0.82,0.915,0.796,0.569,0.635,0.722,0.519,0.038,0.139,0.917,100,45,90,10,45,80,75,60,25,45,2,2,2,2,2,10,10,10,10,10,86424,72267,78594,89164,74805,9,7,9,4,7,1,2,1,7,3,9,7,9,2,7,1,7,1,8,5,9,3,9,3,7,1,6,1,7,3,9,9,8,3,7,1,1,3,7,2,9,9,8,1,7,1,1,3,8,6,9,9,8,2,1,1,1,3,7,5,9,7,9,1,7,1,2,1,9,3,9,7,9,1,6,1,3,2,9,6,9,6,9,2,5,1,4,2,9,5
26,1,Firefox,F,36,0,1,2,3,4,5,0,1,0,0,0,0,0,1,1,1,4,10,9,2,8,32,33,22,21,22,23,18,26,41,11,20,25,15,0,20,60,60,50,40,45,90,100,75,95,70,0.34,0.43,0.24,0.27,0.41,0.22,0.35,0.4,0.4,0.35,0.44,0.22,0.36,0.33,0.24,2,3,2,2,2,60,100,50,40,45,0.22,0.22,0.4,0.4,0.35,36,9,29,31,50,30,15,40,45,50,50,70,65,60,75,90,80,100,90,90,0.39,0.45,0.38,0.54,0.32,0.25,0.29,0.34,0.3,0.5,0.36,0.26,0.28,0.16,0.18,3,3,2,1,2,90,80,65,45,75,0.36,0.26,0.34,0.54,0.5,0.145,0.038,0.418,0.913,0.821,0.867,0.436,0.523,0.516,0.433,60,100,50,40,45,90,80,65,45,75,2,2,2,2,2,10,10,10,10,10,105588,81493,84426,85267,73187,6,9,7,5,5,3,1,3,5,5,6,9,7,5,5,3,1,2,3,5,6,9,8,6,5,2,1,3,5,3,9,9,7,5,6,1,1,3,3,3,9,9,6,4,6,1,1,3,7,3,9,9,7,1,5,1,1,3,7,4,8,9,5,3,6,2,1,3,7,3,8,9,6,3,6,2,1,2,8,5,8,9,7,2,3,2,1,3,6,4
27,1,Chrome,M,24,0,1,2,3,4,5,0,0,0,0,1,0,1,1,1,0,7,5,8,9,1,11,13,22,22,12,19,37,11,26,11,25,20,20,15,20,45,50,45,50,45,80,90,70,75,70,0.31,0.28,0.41,0.24,0.41,0.32,0.19,0.35,0.4,0.35,0.37,0.53,0.24,0.36,0.24,1,1,2,2,2,25,20,45,50,45,0.31,0.28,0.35,0.4,0.35,43,15,50,29,4,10,30,50,40,10,50,50,75,65,35,75,95,90,100,75,0.55,0.3,0.32,0.38,0.5,0.28,0.3,0.5,0.34,0.31,0.17,0.4,0.18,0.28,0.19,1,3,2,2,1,10,95,75,65,10,0.55,0.4,0.5,0.34,0.5,0.458,0.584,0.581,0.423,0.596,0.828,0.352,0.026,0.558,0.064,25,20,45,50,45,10,95,75,65,10,2,2,2,2,2,10,10,10,10,10,62357,57239,81027,47949,50232,3,2,5,5,6,3,6,3,2,3,3,1,5,6,6,7,6,3,5,4,2,2,6,4,3,5,4,3,2,4,2,8,7,5,2,7,1,2,2,7,2,8,7,6,2,2,1,2,5,7,1,7,7,2,2,4,1,2,5,5,3,7,6,5,4,6,2,3,4,7,2,7,6,5,3,7,1,3,5,7,1,7,6,3,3,4,2,3,5,5
28,1,Firefox,M,60,0,1,2,3,4,5,1,0,0,1,1,0,0,1,1,1,6,10,5,8,4,31,33,13,22,32,46,18,37,11,36,55,25,20,20,30,70,60,50,45,50,85,100,90,70,90,0.26,0.43,0.28,0.41,0.39,0.53,0.35,0.19,0.35,0.25,0.21,0.22,0.53,0.24,0.36,1,3,1,2,3,55,100,20,45,90,0.26,0.22,0.28,0.35,0.36,21,9,15,50,23,25,15,30,50,20,45,70,50,75,60,80,80,95,90,90,0.3,0.45,0.3,0.32,0.34,0.3,0.29,0.3,0.5,0.22,0.4,0.26,0.4,0.18,0.44,3,3,3,2,2,80,80,95,75,60,0.4,0.26,0.4,0.5,0.22,0.84,0.307,0.733,0.918,0.475,0.293,0.869,0.83,0.355,0.228,55,100,20,45,90,80,80,95,75,60,2,2,2,2,2,10,10,10,10,10,141664,99965,137678,129258,107481,4,7,2,5,8,5,2,7,4,2,4,7,2,4,8,6,1,2,5,2,6,6,6,6,8,5,1,3,3,2,7,7,8,6,4,3,2,2,3,5,7,7,8,4,4,3,2,1,5,5,6,8,9,7,7,3,1,1,3,3,6,9,4,4,7,3,1,6,5,3,5,9,4,4,8,5,1,4,6,2,6,9,7,7,8,6,1,4,2,2
29,1,Firefox,M,50,0,1,2,3,4,5,0,0,1,0,1,1,1,0,1,1,4,5,6,8,3,32,13,31,22,23,36,37,46,11,8,30,20,55,20,15,50,50,70,45,70,90,90,85,70,80,0.39,0.28,0.26,0.41,0.49,0.25,0.19,0.53,0.35,0.27,0.36,0.53,0.21,0.24,0.24,3,1,1,2,2,90,20,55,45,70,0.36,0.28,0.26,0.35,0.27,23,15,21,50,3,20,30,25,50,0,60,50,45,75,30,90,95,80,90,60,0.34,0.3,0.3,0.32,0.41,0.22,0.3,0.3,0.5,0.37,0.44,0.4,0.4,0.18,0.22,2,3,3,2,3,60,95,80,75,60,0.22,0.4,0.4,0.5,0.22,0.92,0.427,0.984,0.503,0.121,0.882,0.787,0.695,0.043,0.184,90,20,55,45,70,60,95,80,75,60,2,2,2,2,2,10,10,10,10,10,92822,71673,73233,63337,56885,8,5,2,7,7,1,4,6,3,3,8,4,2,7,7,1,6,8,4,3,8,2,2,6,6,1,6,6,4,3,7,8,8,7,8,2,1,1,3,1,7,8,8,6,8,2,1,1,3,1,6,8,8,6,8,3,1,1,4,1,8,7,7,6,7,2,3,3,3,2,8,6,6,6,7,2,4,5,4,3,8,5,5,6,7,2,3,4,4,2
