workerid,condition,browser,gender,age,spinnerPairID.1,spinnerPairID.2,spinnerPairID.3,spinnerPairID.4,spinnerPairID.5,spinnerPairCode.1,spinnerPairCode.2,spinnerPairCode.3,spinnerPairCode.4,spinnerPairCode.5,spinnerID_1.1,spinnerID_1.2,spinnerID_1.3,spinnerID_1.4,spinnerID_1.5,payoff1_1.1,payoff1_1.2,payoff1_1.3,payoff1_1.4,payoff1_1.5,payoff2_1.1,payoff2_1.2,payoff2_1.3,payoff2_1.4,payoff2_1.5,payoff3_1.1,payoff3_1.2,payoff3_1.3,payoff3_1.4,payoff3_1.5,prob1_1.1,prob1_1.2,prob1_1.3,prob1_1.4,prob1_1.5,prob2_1.1,prob2_1.2,prob2_1.3,prob2_1.4,prob2_1.5,prob3_1.1,prob3_1.2,prob3_1.3,prob3_1.4,prob3_1.5,winChoice_1.1,winChoice_1.2,winChoice_1.3,winChoice_1.4,winChoice_1.5,win_1.1,win_1.2,win_1.3,win_1.4,win_1.5,winProb_1.1,winProb_1.2,winProb_1.3,winProb_1.4,winProb_1.5,spinnerID_2.1,spinnerID_2.2,spinnerID_2.3,spinnerID_2.4,spinnerID_2.5,payoff1_2.1,payoff1_2.2,payoff1_2.3,payoff1_2.4,payoff1_2.5,payoff2_2.1,payoff2_2.2,payoff2_2.3,payoff2_2.4,payoff2_2.5,payoff3_2.1,payoff3_2.2,payoff3_2.3,payoff3_2.4,payoff3_2.5,prob1_2.1,prob1_2.2,prob1_2.3,prob1_2.4,prob1_2.5,prob2_2.1,prob2_2.2,prob2_2.3,prob2_2.4,prob2_2.5,prob3_2.1,prob3_2.2,prob3_2.3,prob3_2.4,prob3_2.5,winChoice_2.1,winChoice_2.2,winChoice_2.3,winChoice_2.4,winChoice_2.5,win_2.1,win_2.2,win_2.3,win_2.4,win_2.5,winProb_2.1,winProb_2.2,winProb_2.3,winProb_2.4,winProb_2.5,angleProportion_1.1,angleProportion_1.2,angleProportion_1.3,angleProportion_1.4,angleProportion_1.5,angleProportion_2.1,angleProportion_2.2,angleProportion_2.3,angleProportion_2.4,angleProportion_2.5,attentionCheck1.1,attentionCheck1.2,attentionCheck1.3,attentionCheck1.4,attentionCheck1.5,attentionCheck2.1,attentionCheck2.2,attentionCheck2.3,attentionCheck2.4,attentionCheck2.5,leftWheelFirst.1,leftWheelFirst.2,leftWheelFirst.3,leftWheelFirst.4,leftWheelFirst.5,reactionTime.1,reactionTime.2,reactionTime.3,reactionTime.4,reactionTime.5,happy1.1,happy1.2,happy1.3,happy1.4,happy1.5,sad1.1,sad1.2,sad1.3,sad1.4,sad1.5,content1.1,content1.2,content1.3,content1.4,content1.5,disapp1.1,disapp1.2,disapp1.3,disapp1.4,disapp1.5,relief1.1,relief1.2,relief1.3,relief1.4,relief1.5,regret1.1,regret1.2,regret1.3,regret1.4,regret1.5,happy2.1,happy2.2,happy2.3,happy2.4,happy2.5,sad2.1,sad2.2,sad2.3,sad2.4,sad2.5,content2.1,content2.2,content2.3,content2.4,content2.5,disapp2.1,disapp2.2,disapp2.3,disapp2.4,disapp2.5,relief2.1,relief2.2,relief2.3,relief2.4,relief2.5,regret2.1,regret2.2,regret2.3,regret2.4,regret2.5,happy3.1,happy3.2,happy3.3,happy3.4,happy3.5,sad3.1,sad3.2,sad3.3,sad3.4,sad3.5,content3.1,content3.2,content3.3,content3.4,content3.5,disapp3.1,disapp3.2,disapp3.3,disapp3.4,disapp3.5,relief3.1,relief3.2,relief3.3,relief3.4,relief3.5,regret3.1,regret3.2,regret3.3,regret3.4,regret3.5
11,1,Firefox,M,33,6,8,1,9,10,31,22,12,22,33,21,11,4,26,9,55,20,20,40,15,70,45,45,65,70,85,70,70,100,80,0.26,0.41,0.41,0.38,0.45,0.53,0.35,0.35,0.34,0.29,0.21,0.24,0.24,0.28,0.26,1,2,2,2,3,55,45,45,65,80,0.26,0.35,0.35,0.34,0.26,46,50,11,29,18,25,50,10,15,25,45,75,35,50,60,80,90,75,75,100,0.3,0.32,0.5,0.24,0.43,0.3,0.5,0.31,0.4,0.35,0.4,0.18,0.19,0.36,0.22,3,2,1,2,3,80,75,10,50,100,0.4,0.5,0.5,0.4,0.22,0.739,0.381,0.786,0.523,0.582,0.008,0.78,0.016,0.1,0.947,55,45,45,65,80,80,75,10,50,100,0,1,0,0,1,100742,109084,61347,49250,63286,3,5,6,7,9,1,1,2,1,1,3,5,5,6,7,7,1,3,1,1,3,4,5,5,9,5,2,2,1,1,9,5,1,7,9,1,1,6,1,1,7,4,4,5,8,1,2,8,3,1,4,5,2,8,9,1,1,4,1,1,7,6,6,7,9,1,1,3,1,1,5,5,5,7,9,2,1,2,1,1,6,6,6,5,9,4,2,3,1,1
12,1,Chrome,M,35,10,8,2,9,1,33,22,21,22,12,9,11,41,26,4,25,20,45,40,20,60,45,60,65,45,100,70,90,100,70,0.43,0.41,0.54,0.38,0.41,0.35,0.35,0.3,0.34,0.35,0.22,0.24,0.16,0.28,0.24,3,2,1,2,2,100,45,45,65,45,0.22,0.35,0.54,0.34,0.35,18,50,31,29,11,15,50,0,15,10,70,75,40,50,35,80,90,95,75,75,0.45,0.32,0.27,0.24,0.5,0.29,0.5,0.4,0.4,0.31,0.26,0.18,0.33,0.36,0.19,3,2,2,2,1,80,75,40,50,10,0.26,0.5,0.4,0.4,0.5,0.968,0.085,0.328,0.125,0.036,0.084,0.224,0.422,0.882,0.35,100,45,45,65,45,80,75,40,50,10,0,1,0,0,0,82363,15100,83422,83277,139190,9,3,1,6,1,1,6,5,2,5,9,4,3,5,3,1,7,7,4,6,9,1,2,4,4,1,7,7,4,3,8,5,2,5,1,1,3,7,5,8,8,3,1,5,5,1,5,7,5,9,5,2,2,5,4,1,5,7,5,9,9,3,2,6,1,1,4,4,3,6,9,3,5,5,4,1,6,7,3,6,5,4,3,3,4,1,6,4,3,5
13,1,Chrome,M,28,2,9,6,8,10,21,22,31,22,33,41,26,21,11,9,0,15,55,20,15,40,50,70,45,70,95,75,85,70,80,0.27,0.24,0.26,0.41,0.45,0.4,0.4,0.53,0.35,0.29,0.33,0.36,0.21,0.24,0.26,2,2,1,2,3,40,50,55,45,80,0.4,0.4,0.26,0.35,0.26,31,29,46,50,18,45,40,25,50,25,60,65,45,75,60,90,100,80,90,100,0.54,0.38,0.3,0.32,0.43,0.3,0.34,0.3,0.5,0.35,0.16,0.28,0.4,0.18,0.22,1,2,3,2,3,45,65,80,75,100,0.54,0.34,0.4,0.5,0.22,0.782,0.326,0.592,0.782,0.101,0.526,0.948,0.529,0.169,0.989,40,50,55,45,80,45,65,80,75,100,1,1,0,1,1,42203,43990,40092,41866,39019,6,6,4,7,9,3,3,4,3,1,7,6,5,5,9,5,5,5,3,1,8,8,3,4,8,1,2,3,4,1,3,6,9,7,9,5,4,1,2,1,2,4,9,6,9,8,5,1,4,1,1,1,8,3,9,5,4,1,5,1,6,7,7,7,9,4,3,3,3,1,5,6,7,5,9,8,4,4,3,1,3,2,2,4,9,4,4,4,6,1
14,1,Chrome,M,23,6,4,5,7,1,31,32,13,11,12,21,36,37,43,4,25,20,20,25,20,45,60,50,45,45,80,90,90,80,70,0.3,0.34,0.28,0.31,0.41,0.3,0.22,0.19,0.32,0.35,0.4,0.44,0.53,0.37,0.24,3,2,1,1,2,80,60,20,25,45,0.4,0.22,0.28,0.31,0.35,46,23,15,19,11,55,30,30,10,10,70,50,50,50,35,85,90,95,75,75,0.26,0.39,0.3,0.55,0.5,0.53,0.25,0.3,0.28,0.31,0.21,0.36,0.4,0.17,0.19,1,3,3,1,1,55,90,95,10,10,0.26,0.36,0.4,0.55,0.5,0.962,0.935,0.192,0.203,0.296,0.888,0.736,0.178,0.377,0.113,80,60,20,25,45,55,90,95,10,10,1,0,1,0,0,77381,80752,80602,86341,65715,8,5,3,3,6,1,3,5,5,4,7,6,3,3,6,1,6,8,7,4,7,3,2,3,5,1,4,6,6,4,4,8,9,2,2,5,1,1,6,6,5,8,8,3,5,7,1,1,8,7,2,7,6,2,2,3,1,2,7,6,7,7,6,2,4,3,3,4,6,5,6,8,6,3,4,5,4,5,8,5,6,6,4,2,3,3,3,4,6,5
15,1,Chrome,F,55,5,9,8,7,6,13,22,22,11,31,37,26,11,43,21,30,40,20,25,25,50,65,45,45,45,95,100,70,80,80,0.3,0.38,0.41,0.31,0.3,0.3,0.34,0.35,0.32,0.3,0.4,0.28,0.24,0.37,0.4,3,2,2,1,3,95,65,45,25,80,0.4,0.34,0.35,0.31,0.4,15,29,50,19,46,20,15,50,10,55,50,50,75,50,70,90,75,90,75,85,0.28,0.24,0.32,0.55,0.26,0.19,0.4,0.5,0.28,0.53,0.53,0.36,0.18,0.17,0.21,1,2,2,1,1,20,50,75,10,55,0.28,0.4,0.5,0.55,0.26,0.79,0.82,0.607,0.825,0.932,0.774,0.024,0.598,0.632,0.163,95,65,45,25,80,20,50,75,10,55,0,0,1,0,1,182125,101743,97512,67801,81745,9,6,6,1,9,1,4,6,9,1,9,4,5,1,9,1,6,6,9,1,9,6,7,1,9,1,5,7,9,1,2,6,6,1,2,8,4,7,9,8,2,6,6,1,2,8,4,7,9,8,1,7,7,1,2,9,4,7,9,8,3,5,6,1,6,7,5,6,9,7,6,5,6,1,6,7,5,6,9,7,6,5,7,1,8,6,5,7,9,7
16,1,Firefox,M,29,4,3,7,9,10,32,23,11,22,33,36,8,43,26,9,20,0,10,15,15,60,30,50,50,70,90,60,75,75,80,0.34,0.41,0.55,0.24,0.45,0.22,0.37,0.28,0.4,0.29,0.44,0.22,0.17,0.36,0.26,2,3,1,2,3,60,60,10,50,80,0.22,0.22,0.55,0.4,0.26,23,3,19,29,18,30,15,25,40,25,50,70,45,65,60,90,80,80,100,100,0.39,0.49,0.31,0.38,0.43,0.25,0.27,0.32,0.34,0.35,0.36,0.24,0.37,0.28,0.22,3,2,1,2,3,90,70,25,65,100,0.36,0.27,0.31,0.34,0.22,0.548,0.107,0.334,0.006,0.26,0.523,0.408,0.158,0.452,0.167,60,60,10,50,80,90,70,25,65,100,0,0,1,1,1,60680,41512,57624,46787,29561,7,8,5,8,9,1,1,2,1,1,7,7,6,7,8,1,1,2,1,1,8,8,6,8,9,1,1,2,1,1,7,8,6,8,9,1,1,2,1,1,7,7,6,7,8,1,1,2,1,1,8,8,6,7,9,1,1,1,1,1,8,8,6,8,9,1,1,2,1,1,7,7,6,7,8,1,1,2,1,1,8,8,5,8,9,1,1,2,1,1
17,1,Chrome,M,33,9,6,1,3,4,22,31,12,23,32,26,21,4,8,36,40,25,10,15,30,65,45,35,70,50,100,80,75,80,90,0.38,0.3,0.5,0.49,0.39,0.34,0.3,0.31,0.27,0.25,0.28,0.4,0.19,0.24,0.36,2,3,1,2,3,65,80,10,70,90,0.34,0.4,0.5,0.27,0.36,29,46,11,3,23,15,55,20,0,20,50,70,45,30,60,75,85,70,60,90,0.24,0.26,0.41,0.41,0.34,0.4,0.53,0.35,0.37,0.22,0.36,0.21,0.24,0.22,0.44,2,1,2,3,2,50,55,45,60,60,0.4,0.26,0.35,0.22,0.22,0.7,0.671,0.252,0.944,0.325,0.018,0.814,0.146,0.792,0.224,65,80,10,70,90,50,55,45,60,60,0,1,1,1,1,78448,76519,68877,63685,80079,8,9,2,8,9,1,1,9,1,1,9,9,1,9,9,1,1,9,1,1,3,2,1,6,6,4,1,9,1,1,8,1,6,9,7,1,8,2,1,1,9,1,6,9,8,1,8,6,1,3,9,1,7,6,6,1,7,4,1,1,9,5,4,9,9,1,5,6,1,1,9,6,3,9,9,1,4,7,1,1,1,3,3,6,4,1,3,7,1,1
18,1,Chrome,M,39,9,7,10,1,6,22,11,33,12,31,26,43,9,4,21,40,25,15,10,25,65,45,70,35,45,100,80,80,75,80,0.38,0.31,0.45,0.5,0.3,0.34,0.32,0.29,0.31,0.3,0.28,0.37,0.26,0.19,0.4,2,1,3,1,3,65,25,80,10,80,0.34,0.31,0.26,0.5,0.4,29,19,18,11,46,15,10,25,20,55,50,50,60,45,70,75,75,100,70,85,0.24,0.55,0.43,0.41,0.26,0.4,0.28,0.35,0.35,0.53,0.36,0.17,0.22,0.24,0.21,2,1,3,2,1,50,10,100,45,55,0.4,0.55,0.22,0.35,0.26,0.37,0.059,0.698,0.409,0.411,0.243,0.185,0.876,0.152,0.476,65,25,80,10,80,50,10,100,45,55,0,0,1,1,1,117966,95600,78941,85601,89216,6,2,6,1,7,1,2,1,2,1,4,1,5,1,6,3,5,1,6,1,1,1,4,1,4,3,2,1,2,1,6,2,8,2,1,1,2,1,2,3,5,1,6,3,1,2,5,1,4,5,2,1,4,2,1,2,2,1,2,2,7,2,8,1,6,1,2,1,3,2,5,1,7,1,5,2,5,1,5,2,2,1,5,1,4,2,2,1,3,2
19,1,Chrome,F,28,2,6,4,9,1,21,31,32,22,12,41,21,36,26,4,0,25,20,40,10,40,45,60,65,35,95,80,90,100,75,0.27,0.3,0.34,0.38,0.5,0.4,0.3,0.22,0.34,0.31,0.33,0.4,0.44,0.28,0.19,2,3,2,2,1,40,80,60,65,10,0.4,0.4,0.22,0.34,0.5,31,46,23,29,11,45,55,30,15,20,60,70,50,50,45,90,85,90,75,70,0.54,0.26,0.39,0.24,0.41,0.3,0.53,0.25,0.4,0.35,0.16,0.21,0.36,0.36,0.24,1,1,3,2,2,45,55,90,50,45,0.54,0.26,0.36,0.4,0.35,0.308,0.351,0.106,0.815,0.017,0.851,0.114,0.696,0.176,0.938,40,80,90,50,10,45,55,60,65,45,1,1,0,0,1,48988,31858,29006,36089,27936,7,9,9,6,3,1,1,1,1,5,7,9,9,6,3,1,1,1,1,5,1,1,1,1,5,1,1,1,1,5,5,5,6,7,5,1,2,1,1,1,5,5,6,7,5,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,7,6,9,6,5,1,1,1,1,1,7,6,9,6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,1,Firefox,M,22,4,10,7,5,9,32,33,11,13,22,36,9,43,37,26,30,25,10,20,40,50,60,50,50,65,90,100,75,90,100,0.39,0.43,0.55,0.28,0.38,0.25,0.35,0.28,0.19,0.34,0.36,0.22,0.17,0.53,0.28,3,3,1,1,2,90,100,10,20,65,0.36,0.22,0.55,0.28,0.34,23,18,19,15,29,20,15,25,30,15,60,70,45,50,50,90,80,80,95,75,0.34,0.45,0.31,0.3,0.24,0.22,0.29,0.32,0.3,0.4,0.44,0.26,0.37,0.4,0.36,2,3,1,3,2,60,80,25,95,50,0.22,0.26,0.31,0.4,0.4,0.3,0.793,0.761,0.574,0.602,0.052,0.634,0.078,0.366,0.69,90,100,10,20,65,60,80,25,95,50,1,0,1,1,0,57231,49484,157340,193996,141105,8,9,3,2,6,1,1,7,7,3,8,9,2,1,6,1,1,7,7,3,8,8,1,1,4,1,1,6,6,4,6,9,2,8,6,2,1,6,1,3,5,9,1,7,6,2,1,6,1,3,5,8,1,5,4,2,1,6,1,4,7,9,2,7,7,1,1,8,3,3,6,9,1,5,7,2,1,7,4,4,5,8,1,4,5,1,1,6,4,4
21,1,Firefox,F,30,9,1,5,3,10,22,12,13,23,33,26,4,37,8,9,40,10,30,15,15,65,35,50,70,70,100,75,95,80,80,0.38,0.5,0.3,0.49,0.45,0.34,0.31,0.3,0.27,0.29,0.28,0.19,0.4,0.24,0.26,2,1,3,2,3,65,10,95,70,80,0.34,0.5,0.4,0.27,0.26,29,11,15,3,18,15,20,20,0,25,50,45,50,30,60,75,70,90,60,100,0.24,0.41,0.28,0.41,0.43,0.4,0.35,0.19,0.37,0.35,0.36,0.24,0.53,0.22,0.22,2,2,1,3,3,50,45,20,60,100,0.4,0.35,0.28,0.22,0.22,0.715,0.203,0.117,0.077,0.664,0.954,0.724,0.252,0.887,0.871,65,10,95,70,80,50,45,20,60,100,0,1,0,1,1,75564,69788,62060,52252,62025,8,2,9,7,8,1,5,1,2,1,7,4,1,2,8,1,8,1,2,1,1,5,1,2,1,1,8,1,2,1,7,7,1,7,9,1,1,7,3,1,7,6,6,3,9,3,2,9,3,1,2,1,7,3,1,1,1,6,3,1,8,5,8,8,9,1,3,1,2,1,7,3,5,2,9,1,3,3,1,1,1,3,3,2,1,1,3,2,2,1
22,1,Firefox,M,27,8,10,5,6,7,22,33,13,31,11,11,9,37,21,43,50,15,20,25,10,75,70,50,45,50,90,80,90,80,75,0.32,0.45,0.28,0.3,0.55,0.5,0.29,0.19,0.3,0.28,0.18,0.26,0.53,0.4,0.17,2,3,1,3,1,75,80,20,80,10,0.5,0.26,0.28,0.4,0.55,50,18,15,46,19,20,25,30,55,25,45,60,50,70,45,70,100,95,85,80,0.41,0.43,0.3,0.26,0.31,0.35,0.35,0.3,0.53,0.32,0.24,0.22,0.4,0.21,0.37,2,3,3,1,1,45,100,95,55,25,0.35,0.22,0.4,0.26,0.31,0.718,0.836,0.87,0.148,0.176,0.417,0.683,0.934,0.232,0.507,75,80,20,80,10,45,100,95,55,25,0,1,1,1,1,60690,37082,42373,48222,42617,7,9,2,8,1,2,1,7,1,9,9,9,2,9,1,2,1,9,1,9,8,9,1,8,1,2,1,7,1,9,6,9,9,3,1,3,1,1,5,7,6,9,9,2,1,3,1,1,8,8,7,9,9,2,1,2,1,1,8,8,7,9,6,6,1,2,1,3,4,8,8,9,6,6,1,2,1,3,4,9,7,9,7,5,1,2,1,3,3,8
23,1,Chrome,M,22,5,6,4,7,2,13,31,32,11,21,37,21,36,43,41,20,55,20,25,0,50,70,60,45,40,90,85,90,80,95,0.28,0.26,0.34,0.31,0.27,0.19,0.53,0.22,0.32,0.4,0.53,0.21,0.44,0.37,0.33,1,1,2,1,2,20,55,60,25,40,0.28,0.26,0.22,0.31,0.4,15,46,23,19,31,30,25,30,10,45,50,45,50,50,60,95,80,90,75,90,0.3,0.3,0.39,0.55,0.54,0.3,0.3,0.25,0.28,0.3,0.4,0.4,0.36,0.17,0.16,3,3,3,1,1,95,80,90,10,45,0.4,0.4,0.36,0.55,0.54,0.759,0.203,0.677,0.15,0.443,0.269,0.621,0.248,0.916,0.124,20,55,60,25,40,95,80,90,10,45,1,0,0,0,1,87502,57893,81425,46351,69853,6,9,9,4,9,1,3,3,4,1,6,1,6,4,6,1,3,3,4,1,6,5,9,3,9,3,1,1,1,1,9,9,9,3,8,1,1,1,3,1,5,9,9,3,6,1,1,1,3,1,9,5,9,1,6,1,1,1,2,1,9,9,9,4,9,1,1,2,4,1,9,7,9,4,4,1,4,2,4,2,9,9,7,4,9,1,1,1,4,1
24,1,Chrome,F,27,5,6,10,2,9,13,31,33,21,22,37,21,9,41,26,30,25,25,45,15,50,45,60,60,50,95,80,100,90,75,0.3,0.3,0.43,0.54,0.24,0.3,0.3,0.35,0.3,0.4,0.4,0.4,0.22,0.16,0.36,3,3,3,1,2,95,80,100,45,50,0.4,0.4,0.22,0.54,0.4,15,46,18,31,29,20,55,15,0,40,50,70,70,40,65,90,85,80,95,100,0.28,0.26,0.45,0.27,0.38,0.19,0.53,0.29,0.4,0.34,0.53,0.21,0.26,0.33,0.28,1,1,3,2,2,20,55,80,40,65,0.28,0.26,0.26,0.4,0.34,0.199,0.52,0.26,0.073,0.351,0.692,0.377,0.7,0.384,0.213,95,80,100,45,50,20,55,80,40,65,0,1,0,0,1,69648,59262,37984,66685,58271,9,9,9,5,7,1,1,1,6,4,9,9,9,5,7,1,1,1,8,5,8,8,9,3,5,1,1,1,7,4,5,5,9,7,6,2,4,1,2,4,6,4,9,8,5,8,8,1,3,4,4,4,9,8,6,5,8,1,3,4,7,7,9,7,6,2,3,1,3,3,7,7,9,7,6,4,5,1,5,4,6,7,9,7,6,2,4,1,4,3
25,1,Chrome,F,28,3,4,8,10,6,23,32,22,33,31,8,36,11,9,21,15,30,50,25,25,70,50,75,60,45,80,90,90,100,80,0.49,0.39,0.32,0.43,0.3,0.27,0.25,0.5,0.35,0.3,0.24,0.36,0.18,0.22,0.4,2,3,2,3,3,70,90,75,100,80,0.27,0.36,0.5,0.22,0.4,3,23,50,18,46,0,20,20,15,55,30,60,45,70,70,60,90,70,80,85,0.41,0.34,0.41,0.45,0.26,0.37,0.22,0.35,0.29,0.53,0.22,0.44,0.24,0.26,0.21,3,2,2,3,1,60,60,45,80,55,0.22,0.22,0.35,0.26,0.26,0.787,0.965,0.947,0.668,0.47,0.716,0.611,0.828,0.145,0.326,70,90,75,100,80,60,60,45,80,55,1,1,0,0,1,47915,41924,53059,57571,43936,8,9,7,9,9,1,1,1,1,1,7,9,8,9,9,1,1,1,1,1,7,9,8,9,9,1,1,2,1,1,8,7,6,9,7,1,2,1,1,3,8,8,7,9,8,1,3,1,1,2,7,7,7,9,7,1,1,1,1,3,7,8,7,9,8,1,1,1,1,2,7,7,8,9,8,1,1,2,1,3,8,8,7,9,7,1,2,1,1,2
26,1,Chrome,M,29,3,8,10,1,9,23,22,33,12,22,8,11,9,4,26,15,50,25,10,40,70,75,60,35,65,80,90,100,75,100,0.49,0.32,0.43,0.5,0.38,0.27,0.5,0.35,0.31,0.34,0.24,0.18,0.22,0.19,0.28,2,2,3,1,2,70,75,100,10,65,0.27,0.5,0.22,0.5,0.34,3,50,18,11,29,0,20,15,20,15,30,45,70,45,50,60,70,80,70,75,0.41,0.41,0.45,0.41,0.24,0.37,0.35,0.29,0.35,0.4,0.22,0.24,0.26,0.24,0.36,3,2,3,2,2,60,45,80,45,50,0.22,0.35,0.26,0.35,0.4,0.042,0.576,0.063,0.888,0.401,0.658,0.95,0.082,0.556,0.565,70,75,100,10,65,60,45,80,45,50,1,0,0,1,0,51786,59877,203944,63509,58708,7,5,9,2,5,1,2,1,7,2,7,5,9,1,3,1,2,1,8,3,8,3,9,1,2,1,2,1,6,3,9,5,9,3,3,1,2,1,2,2,9,4,9,4,2,1,3,1,3,5,9,3,9,1,2,1,3,1,2,3,8,6,9,3,4,1,2,1,4,3,9,7,9,1,2,1,2,1,6,6,6,5,9,1,1,1,2,1,3,2
27,1,Firefox,M,33,10,1,6,2,7,33,12,31,21,11,9,4,21,41,43,15,20,55,45,10,70,45,70,60,50,80,70,85,90,75,0.45,0.41,0.26,0.54,0.55,0.29,0.35,0.53,0.3,0.28,0.26,0.24,0.21,0.16,0.17,3,2,1,1,1,80,45,55,45,10,0.26,0.35,0.26,0.54,0.55,18,11,46,31,19,25,10,25,0,25,60,35,45,40,45,100,75,80,95,80,0.43,0.5,0.3,0.27,0.31,0.35,0.31,0.3,0.4,0.32,0.22,0.19,0.4,0.33,0.37,3,1,3,2,1,100,10,80,40,25,0.22,0.5,0.4,0.4,0.31,0.426,0.601,0.929,0.741,0.221,0.913,0.954,0.669,0.397,0.331,80,,55,45,10,100,,80,40,25,1,0,0,0,1,43696,44460,44525,43073,35970,9,1,4,3,3,1,3,1,3,2,9,1,4,3,1,1,5,3,5,4,1,1,1,1,1,1,5,2,5,4,9,4,9,5,3,1,2,1,1,3,9,4,9,5,1,1,3,1,2,5,1,1,1,6,1,1,3,1,1,5,9,2,8,5,3,1,3,1,2,4,9,2,8,5,2,1,6,2,3,6,1,1,1,4,1,1,6,2,3,5
28,1,Chrome,F,33,4,1,8,7,10,32,12,22,11,33,36,4,11,43,9,30,10,50,10,15,50,35,75,50,70,90,75,90,75,80,0.39,0.5,0.32,0.55,0.45,0.25,0.31,0.5,0.28,0.29,0.36,0.19,0.18,0.17,0.26,3,1,2,1,3,90,10,75,10,80,0.36,0.5,0.5,0.55,0.26,23,11,50,19,18,20,20,20,25,25,60,45,45,45,60,90,70,70,80,100,0.34,0.41,0.41,0.31,0.43,0.22,0.35,0.35,0.32,0.35,0.44,0.24,0.24,0.37,0.22,2,2,2,1,3,60,45,45,25,100,0.22,0.35,0.35,0.31,0.22,0.452,0.263,0.414,0.807,0.956,0.594,0.244,0.468,0.582,0.993,90,10,45,10,80,60,45,75,25,100,1,1,0,1,1,52781,32446,28329,43913,28197,7,6,8,7,9,2,1,1,2,1,6,5,8,7,9,2,1,1,2,1,7,4,8,7,9,1,1,1,2,1,6,7,9,7,9,2,1,2,1,1,6,6,8,7,9,2,1,1,1,1,5,6,7,7,9,1,1,2,2,1,9,8,9,8,9,1,1,2,3,1,9,8,8,8,9,1,2,2,3,1,8,8,8,8,9,1,1,1,3,1
29,1,Chrome,F,25,4,7,10,9,2,32,11,33,22,21,36,43,9,26,41,30,10,25,15,0,50,50,60,50,40,90,75,100,75,95,0.39,0.55,0.43,0.24,0.27,0.25,0.28,0.35,0.4,0.4,0.36,0.17,0.22,0.36,0.33,3,1,3,2,2,90,10,100,50,40,0.36,0.55,0.22,0.4,0.4,23,19,18,29,31,20,25,15,40,45,60,45,70,65,60,90,80,80,100,90,0.34,0.31,0.45,0.38,0.54,0.22,0.32,0.29,0.34,0.3,0.44,0.37,0.26,0.28,0.16,2,1,3,2,1,60,25,80,65,45,0.22,0.31,0.26,0.34,0.54,0.281,0.338,0.084,0.71,0.213,0.771,0.185,0.635,0.849,0.664,90,10,100,50,40,60,25,80,65,45,1,1,0,1,1,55508,62194,40144,59423,57457,8,2,9,7,6,1,4,1,3,1,9,2,9,7,6,1,7,1,3,1,5,1,7,8,9,1,6,1,2,2,7,3,9,6,3,2,6,1,2,5,6,2,9,7,3,3,4,1,3,7,2,2,7,8,1,2,6,1,3,6,8,2,9,8,5,2,6,1,2,3,8,2,9,8,5,2,7,1,3,4,8,2,8,9,6,1,7,1,3,4
30,1,Chrome,M,20,6,9,2,3,4,31,22,21,23,32,21,26,41,8,36,55,15,0,15,30,70,50,40,70,50,85,75,95,80,90,0.26,0.24,0.27,0.49,0.39,0.53,0.4,0.4,0.27,0.25,0.21,0.36,0.33,0.24,0.36,1,2,2,2,3,55,50,40,70,90,0.26,0.4,0.4,0.27,0.36,46,29,31,3,23,25,40,45,0,20,45,65,60,30,60,80,100,90,60,90,0.3,0.38,0.54,0.41,0.34,0.3,0.34,0.3,0.37,0.22,0.4,0.28,0.16,0.22,0.44,3,2,1,3,2,80,65,45,60,60,0.4,0.34,0.54,0.22,0.22,0.441,0.083,0.282,0.161,0.871,0.45,0.946,0.26,0.745,0.451,55,50,40,70,90,80,65,45,60,60,0,1,1,1,1,62941,61441,62666,49055,48658,4,7,6,8,9,3,3,1,2,1,4,8,7,7,9,7,4,3,2,1,2,6,7,3,9,3,1,7,1,1,9,7,2,9,7,1,1,1,1,1,9,7,4,9,8,1,3,7,3,5,9,7,4,9,7,1,1,1,1,1,7,7,6,7,8,1,1,1,1,1,6,7,5,6,9,3,3,6,1,1,7,7,3,6,9,1,1,1,1,1
31,1,Chrome,M,26,9,10,7,1,2,22,33,11,12,21,26,9,43,4,41,15,15,25,20,45,50,70,45,45,60,75,80,80,70,90,0.24,0.45,0.31,0.41,0.54,0.4,0.29,0.32,0.35,0.3,0.36,0.26,0.37,0.24,0.16,2,3,1,2,1,50,80,25,45,45,0.4,0.26,0.31,0.35,0.54,29,18,19,11,31,40,25,10,10,0,65,60,50,35,40,100,100,75,75,95,0.38,0.43,0.55,0.5,0.27,0.34,0.35,0.28,0.31,0.4,0.28,0.22,0.17,0.19,0.33,2,3,1,1,2,65,100,10,10,40,0.34,0.22,0.55,0.5,0.4,0.887,0.289,0.348,0.645,0.171,0.589,0.875,0.04,0.809,0.6,50,80,10,45,45,65,100,25,10,40,1,1,0,0,0,54404,42920,52186,56334,45405,7,9,4,5,6,2,1,5,4,4,8,9,7,7,5,2,1,8,4,3,7,9,3,5,5,1,1,3,2,2,8,9,3,2,5,2,1,6,6,2,8,9,2,1,6,2,1,9,8,4,7,9,2,3,6,1,1,4,6,3,7,9,2,4,6,3,1,7,4,2,8,9,2,5,4,2,1,9,5,2,8,9,2,3,6,1,1,5,1,1
