workerid,condition,browser,gender,age,order.1,order.2,order.3,order.4,order.5,askAboutLeftWheelFirst.1,askAboutLeftWheelFirst.2,askAboutLeftWheelFirst.3,askAboutLeftWheelFirst.4,askAboutLeftWheelFirst.5,showFirstOfPairFirst.1,showFirstOfPairFirst.2,showFirstOfPairFirst.3,showFirstOfPairFirst.4,showFirstOfPairFirst.5,spinnerPairID.1,spinnerPairID.2,spinnerPairID.3,spinnerPairID.4,spinnerPairID.5,spinnerPairCode.1,spinnerPairCode.2,spinnerPairCode.3,spinnerPairCode.4,spinnerPairCode.5,spinnerID_1.1,spinnerID_1.2,spinnerID_1.3,spinnerID_1.4,spinnerID_1.5,payoff1_1.1,payoff1_1.2,payoff1_1.3,payoff1_1.4,payoff1_1.5,payoff2_1.1,payoff2_1.2,payoff2_1.3,payoff2_1.4,payoff2_1.5,payoff3_1.1,payoff3_1.2,payoff3_1.3,payoff3_1.4,payoff3_1.5,prob1_1.1,prob1_1.2,prob1_1.3,prob1_1.4,prob1_1.5,prob2_1.1,prob2_1.2,prob2_1.3,prob2_1.4,prob2_1.5,prob3_1.1,prob3_1.2,prob3_1.3,prob3_1.4,prob3_1.5,winChoice_1.1,winChoice_1.2,winChoice_1.3,winChoice_1.4,winChoice_1.5,win_1.1,win_1.2,win_1.3,win_1.4,win_1.5,winProb_1.1,winProb_1.2,winProb_1.3,winProb_1.4,winProb_1.5,spinnerID_2.1,spinnerID_2.2,spinnerID_2.3,spinnerID_2.4,spinnerID_2.5,payoff1_2.1,payoff1_2.2,payoff1_2.3,payoff1_2.4,payoff1_2.5,payoff2_2.1,payoff2_2.2,payoff2_2.3,payoff2_2.4,payoff2_2.5,payoff3_2.1,payoff3_2.2,payoff3_2.3,payoff3_2.4,payoff3_2.5,prob1_2.1,prob1_2.2,prob1_2.3,prob1_2.4,prob1_2.5,prob2_2.1,prob2_2.2,prob2_2.3,prob2_2.4,prob2_2.5,prob3_2.1,prob3_2.2,prob3_2.3,prob3_2.4,prob3_2.5,winChoice_2.1,winChoice_2.2,winChoice_2.3,winChoice_2.4,winChoice_2.5,win_2.1,win_2.2,win_2.3,win_2.4,win_2.5,winProb_2.1,winProb_2.2,winProb_2.3,winProb_2.4,winProb_2.5,angleProportion_1.1,angleProportion_1.2,angleProportion_1.3,angleProportion_1.4,angleProportion_1.5,angleProportion_2.1,angleProportion_2.2,angleProportion_2.3,angleProportion_2.4,angleProportion_2.5,attentionCheck1.1,attentionCheck1.2,attentionCheck1.3,attentionCheck1.4,attentionCheck1.5,attentionCheck2.1,attentionCheck2.2,attentionCheck2.3,attentionCheck2.4,attentionCheck2.5,reactionTime.1,reactionTime.2,reactionTime.3,reactionTime.4,reactionTime.5,happy1.1,happy1.2,happy1.3,happy1.4,happy1.5,sad1.1,sad1.2,sad1.3,sad1.4,sad1.5,content1.1,content1.2,content1.3,content1.4,content1.5,disapp1.1,disapp1.2,disapp1.3,disapp1.4,disapp1.5,relief1.1,relief1.2,relief1.3,relief1.4,relief1.5,regret1.1,regret1.2,regret1.3,regret1.4,regret1.5,happy2.1,happy2.2,happy2.3,happy2.4,happy2.5,sad2.1,sad2.2,sad2.3,sad2.4,sad2.5,content2.1,content2.2,content2.3,content2.4,content2.5,disapp2.1,disapp2.2,disapp2.3,disapp2.4,disapp2.5,relief2.1,relief2.2,relief2.3,relief2.4,relief2.5,regret2.1,regret2.2,regret2.3,regret2.4,regret2.5,happy3.1,happy3.2,happy3.3,happy3.4,happy3.5,sad3.1,sad3.2,sad3.3,sad3.4,sad3.5,content3.1,content3.2,content3.3,content3.4,content3.5,disapp3.1,disapp3.2,disapp3.3,disapp3.4,disapp3.5,relief3.1,relief3.2,relief3.3,relief3.4,relief3.5,regret3.1,regret3.2,regret3.3,regret3.4,regret3.5
11,1,Chrome,M,26,1,2,3,4,5,0,1,1,1,1,1,1,1,1,0,10,5,9,3,4,33,13,22,23,32,9,37,26,8,23,15,20,15,15,30,70,50,50,70,50,80,90,75,80,90,0.45,0.28,0.24,0.49,0.39,0.29,0.19,0.4,0.27,0.25,0.26,0.53,0.36,0.24,0.36,3,1,2,2,3,80,20,50,70,90,0.26,0.28,0.4,0.27,0.36,18,15,29,3,36,25,30,40,0,20,60,50,65,30,60,100,95,100,60,90,0.43,0.3,0.38,0.41,0.34,0.35,0.3,0.34,0.37,0.22,0.22,0.4,0.28,0.22,0.44,3,3,2,3,2,100,95,65,60,60,0.22,0.4,0.34,0.22,0.22,0.349,0.111,0.624,0.067,0.454,0.409,0.709,0.837,0.961,0.072,80,20,50,70,60,100,95,65,60,90,108824,55440,63651,49517,47692,9,2,6,8,5,1,6,3,2,2,9,2,5,7,6,1,8,4,2,2,9,1,5,7,8,1,6,2,1,1,9,9,5,9,9,1,1,3,1,1,9,9,5,8,9,1,1,4,1,1,9,9,3,9,9,1,1,5,1,1,9,6,5,8,8,1,1,3,1,1,8,8,4,7,9,1,4,3,1,1,6,6,2,9,5,1,4,3,1,1
12,1,Chrome,F,39,1,2,3,4,5,1,1,1,1,1,0,1,0,0,0,6,10,5,2,4,31,33,13,21,32,46,9,15,31,23,25,15,20,0,30,45,70,50,40,50,80,80,90,95,90,0.3,0.45,0.28,0.27,0.39,0.3,0.29,0.19,0.4,0.25,0.4,0.26,0.53,0.33,0.36,3,3,1,2,3,80,80,20,40,90,0.4,0.26,0.28,0.4,0.36,21,18,37,41,36,55,25,30,45,20,70,60,50,60,60,85,100,95,90,90,0.26,0.43,0.3,0.54,0.34,0.53,0.35,0.3,0.3,0.22,0.21,0.22,0.4,0.16,0.44,1,3,3,1,2,55,100,95,45,60,0.26,0.22,0.4,0.54,0.22,0.031,0.146,0.634,0.833,0.628,0.307,0.266,0.619,0.011,0.745,55,80,95,45,60,80,100,20,40,90,92591,69388,79538,85231,64536,2,8,8,4,7,7,1,1,6,3,2,8,8,3,7,8,1,1,7,3,2,8,7,5,7,8,1,1,7,5,2,9,2,7,8,9,1,7,3,1,2,9,2,7,9,9,1,8,5,1,2,9,4,8,9,9,1,8,4,1,7,9,7,6,7,2,1,3,4,2,7,9,7,5,7,2,1,4,6,3,8,9,8,8,9,2,1,7,4,4
13,1,Chrome,M,30,1,2,3,4,5,0,1,1,0,0,0,1,1,0,1,7,9,10,5,6,11,22,33,13,31,19,26,9,15,21,10,15,15,20,25,50,50,70,50,45,75,75,80,90,80,0.55,0.24,0.45,0.28,0.3,0.28,0.4,0.29,0.19,0.3,0.17,0.36,0.26,0.53,0.4,1,2,3,1,3,10,50,80,20,80,0.55,0.4,0.26,0.28,0.4,43,29,18,37,46,25,40,25,30,55,45,65,60,50,70,80,100,100,95,85,0.31,0.38,0.43,0.3,0.26,0.32,0.34,0.35,0.3,0.53,0.37,0.28,0.22,0.4,0.21,1,2,3,3,1,25,65,100,95,55,0.31,0.34,0.22,0.4,0.26,0.671,0.561,0.283,0.288,0.719,0.199,0.075,0.741,0.233,0.231,25,50,80,95,80,10,65,100,20,55,57580,47840,36152,45986,61226,5,6,9,9,9,6,3,1,1,1,3,7,9,9,9,8,3,1,1,1,1,4,8,8,9,7,4,1,1,1,2,6,9,2,3,7,2,1,6,3,2,7,9,2,4,8,3,1,8,6,1,3,9,1,2,7,5,1,7,5,2,6,9,4,7,8,2,9,6,2,2,6,9,4,6,9,3,1,7,6,1,2,9,5,3,7,4,1,6,3
14,1,Chrome,M,30,1,2,3,4,5,0,1,0,0,1,1,0,1,1,0,4,8,10,5,2,32,22,33,13,21,36,50,9,37,31,30,20,15,20,0,50,45,70,50,40,90,70,80,90,95,0.39,0.41,0.45,0.28,0.27,0.25,0.35,0.29,0.19,0.4,0.36,0.24,0.26,0.53,0.33,3,2,3,1,2,90,45,80,20,40,0.36,0.35,0.26,0.28,0.4,23,11,18,15,41,20,50,25,30,45,60,75,60,50,60,90,90,100,95,90,0.34,0.32,0.43,0.3,0.54,0.22,0.5,0.35,0.3,0.3,0.44,0.18,0.22,0.4,0.16,2,2,3,3,1,60,75,100,95,45,0.22,0.5,0.22,0.4,0.54,0.46,0.427,0.669,0.208,0.66,0.355,0.781,0.088,0.252,0.339,90,75,80,20,45,60,45,100,95,40,133606,67668,43507,65235,73490,9,7,9,3,2,1,1,1,6,6,9,7,9,1,1,1,1,1,8,7,5,2,5,1,1,1,1,1,9,7,7,6,9,9,6,1,1,1,1,3,6,5,9,9,5,3,1,1,1,4,1,1,6,8,9,1,3,1,1,5,8,7,9,6,5,1,1,1,4,3,8,7,9,5,7,1,3,1,5,5,2,2,6,3,7,1,2,1,3,5
15,1,Chrome,M,31,1,2,3,4,5,0,1,0,1,1,1,1,1,0,1,2,10,7,9,4,21,33,11,22,32,41,9,43,29,36,0,15,10,15,30,40,70,50,50,50,95,80,75,75,90,0.27,0.45,0.55,0.24,0.39,0.4,0.29,0.28,0.4,0.25,0.33,0.26,0.17,0.36,0.36,2,3,1,2,3,40,80,10,50,90,0.4,0.26,0.55,0.4,0.36,31,18,19,26,23,45,25,25,40,20,60,60,45,65,60,90,100,80,100,90,0.54,0.43,0.31,0.38,0.34,0.3,0.35,0.32,0.34,0.22,0.16,0.22,0.37,0.28,0.44,1,3,1,2,2,45,100,25,65,60,0.54,0.22,0.31,0.34,0.22,0.478,0.047,0.641,0.955,0.736,0.757,0.151,0.435,0.195,0.357,40,80,10,65,90,45,100,25,50,60,75658,60757,64269,70920,49795,7,9,2,6,9,2,1,5,2,1,8,9,2,7,9,2,1,8,3,1,6,9,1,2,9,1,1,4,2,1,5,9,2,8,8,3,1,6,2,2,5,9,2,8,8,3,1,6,2,2,2,9,1,8,7,2,1,2,2,2,7,9,2,7,9,2,1,5,2,2,7,9,2,8,9,2,1,7,2,2,6,9,1,8,9,2,1,4,2,2
16,1,Chrome,F,20,1,2,3,4,5,0,1,1,1,0,0,1,0,1,1,5,10,6,2,4,13,33,31,21,32,15,9,46,41,36,20,15,25,0,30,50,70,45,40,50,90,80,80,95,90,0.28,0.45,0.3,0.27,0.39,0.19,0.29,0.3,0.4,0.25,0.53,0.26,0.4,0.33,0.36,1,3,3,2,3,20,80,80,40,90,0.28,0.26,0.4,0.4,0.36,37,18,21,31,23,30,25,55,45,20,50,60,70,60,60,95,100,85,90,90,0.3,0.43,0.26,0.54,0.34,0.3,0.35,0.53,0.3,0.22,0.4,0.22,0.21,0.16,0.44,3,3,1,1,2,95,100,55,45,60,0.4,0.22,0.26,0.54,0.22,0.734,0.904,0.747,0.472,0.153,0.567,0.784,0.948,0.395,0.589,95,80,55,40,90,20,100,80,45,60,82015,52328,68225,70922,65130,9,9,4,7,9,1,1,6,3,1,9,9,4,6,9,1,1,7,6,1,8,8,3,8,9,1,1,6,5,1,3,9,9,5,7,7,1,1,7,2,2,9,9,3,7,8,1,1,7,6,4,9,7,1,6,7,1,1,6,4,7,9,7,6,7,3,1,3,3,2,6,9,8,4,6,5,1,6,7,5,6,9,4,3,5,4,1,5,6,5
17,1,Chrome,F,37,1,2,3,4,5,1,1,1,0,0,0,1,1,1,1,7,1,8,2,10,11,12,22,21,33,19,4,11,41,9,10,10,20,0,15,50,35,45,40,70,75,75,70,95,80,0.55,0.5,0.41,0.27,0.45,0.28,0.31,0.35,0.4,0.29,0.17,0.19,0.24,0.33,0.26,1,1,2,2,3,10,10,45,40,80,0.55,0.5,0.35,0.4,0.26,43,11,50,31,18,25,20,50,45,25,45,45,75,60,60,80,70,90,90,100,0.31,0.41,0.32,0.54,0.43,0.32,0.35,0.5,0.3,0.35,0.37,0.24,0.18,0.16,0.22,1,2,2,1,3,25,45,75,45,100,0.31,0.35,0.5,0.54,0.22,0.904,0.155,0.228,0.751,0.436,0.574,0.81,0.171,0.983,0.449,25,10,45,45,25,100,45,75,40,100,58960,45849,63913,70634,79423,5,3,7,6,3,4,6,1,2,6,6,3,6,4,2,5,7,1,3,4,2,3,3,2,1,3,2,1,2,4,9,6,7,7,9,1,1,1,1,1,9,7,8,6,9,1,1,1,1,1,5,3,3,4,5,1,1,1,1,1,9,7,8,6,8,1,1,1,2,1,7,6,7,6,9,1,1,1,2,1,5,3,7,4,3,1,1,1,2,1
18,1,Chrome,F,62,1,2,3,4,5,1,1,1,1,1,0,1,1,0,1,4,5,1,10,3,32,13,12,33,23,23,37,4,18,8,30,20,10,15,15,50,50,35,70,70,90,90,75,80,80,0.39,0.28,0.5,0.45,0.49,0.25,0.19,0.31,0.29,0.27,0.36,0.53,0.19,0.26,0.24,3,1,1,3,2,90,20,10,80,70,0.36,0.28,0.5,0.26,0.27,36,15,11,9,3,20,30,20,25,0,60,50,45,60,30,90,95,70,100,60,0.34,0.3,0.41,0.43,0.41,0.22,0.3,0.35,0.35,0.37,0.44,0.4,0.24,0.22,0.22,2,3,2,3,3,60,95,45,100,60,0.22,0.4,0.35,0.22,0.22,0.59,0.186,0.496,0.604,0.794,0.529,0.348,0.036,0.895,0.138,60,20,10,100,70,90,95,45,80,60,103917,76228,88660,68483,66623,7,3,1,9,9,1,8,9,1,2,7,1,1,9,8,3,9,9,1,2,7,1,1,9,8,1,1,7,1,1,9,9,7,9,9,1,1,3,1,1,9,9,7,9,9,1,1,3,1,1,9,9,3,9,9,1,1,1,1,1,9,8,7,9,9,1,1,2,1,1,9,8,2,9,9,1,2,1,1,1,9,9,7,9,9,1,1,2,1,1
19,1,Chrome,M,26,1,2,3,4,5,0,1,1,1,1,0,0,0,0,0,3,7,2,10,6,23,11,21,33,31,3,19,31,18,46,15,10,0,15,25,70,50,40,70,45,80,75,95,80,80,0.49,0.55,0.27,0.45,0.3,0.27,0.28,0.4,0.29,0.3,0.24,0.17,0.33,0.26,0.4,2,1,2,3,3,70,10,40,80,80,0.27,0.55,0.4,0.26,0.4,8,43,41,9,21,0,25,45,25,55,30,45,60,60,70,60,80,90,100,85,0.41,0.31,0.54,0.43,0.26,0.37,0.32,0.3,0.35,0.53,0.22,0.37,0.16,0.22,0.21,3,1,1,3,1,60,25,45,100,55,0.22,0.31,0.54,0.22,0.26,0.472,0.003,0.183,0.143,0.466,0.413,0.421,0.449,0.325,0.971,60,25,45,100,55,,10,40,80,80,62350,60510,47575,44645,44844,8,5,4,9,5,1,5,5,2,3,8,6,4,8,5,1,4,5,2,4,7,3,3,8,3,1,4,4,1,3,8,3,4,8,7,2,6,4,1,2,7,2,5,7,6,2,8,4,1,1,9,3,6,8,7,1,7,3,1,2,8,2,5,9,7,1,7,4,1,2,8,3,5,8,7,1,8,4,1,2,8,3,6,8,7,1,6,3,1,2
20,1,Chrome,M,24,1,2,3,4,5,1,0,0,0,1,1,0,0,0,1,5,1,4,6,7,13,12,32,31,11,37,11,23,46,43,20,10,30,25,10,50,35,50,45,50,90,75,90,80,75,0.28,0.5,0.39,0.3,0.55,0.19,0.31,0.25,0.3,0.28,0.53,0.19,0.36,0.4,0.17,1,1,3,3,1,20,10,90,80,10,0.28,0.5,0.36,0.4,0.55,15,4,36,21,19,30,20,20,55,25,50,45,60,70,45,95,70,90,85,80,0.3,0.41,0.34,0.26,0.31,0.3,0.35,0.22,0.53,0.32,0.4,0.24,0.44,0.21,0.37,3,2,2,1,1,95,45,60,55,25,0.4,0.35,0.22,0.26,0.31,0.769,0.594,0.856,0.542,0.288,0.774,0.873,0.152,0.236,0.285,20,45,60,55,10,95,10,90,80,25,114101,35516,47438,48590,52866,9,9,9,9,5,1,1,1,1,1,9,9,9,9,5,1,1,1,1,1,9,9,9,9,9,1,1,1,1,1,9,9,9,9,4,1,1,1,1,1,9,9,9,9,5,1,1,1,1,1,5,9,9,9,9,1,1,1,1,1,9,9,9,9,9,1,1,1,1,1,9,9,9,9,9,1,1,1,1,1,9,5,9,9,9,1,1,1,1,1
21,1,Chrome,F,25,1,2,3,4,5,0,0,1,1,0,1,1,1,1,1,7,1,6,10,8,11,12,31,33,22,43,4,21,9,11,10,10,25,15,20,50,35,45,70,45,75,75,80,80,70,0.55,0.5,0.3,0.45,0.41,0.28,0.31,0.3,0.29,0.35,0.17,0.19,0.4,0.26,0.24,1,1,3,3,2,10,10,80,80,45,0.55,0.5,0.4,0.26,0.35,19,11,46,18,50,25,20,55,25,50,45,45,70,60,75,80,70,85,100,90,0.31,0.41,0.26,0.43,0.32,0.32,0.35,0.53,0.35,0.5,0.37,0.24,0.21,0.22,0.18,1,2,1,3,2,25,45,55,100,75,0.31,0.35,0.26,0.22,0.5,0.163,0.312,0.677,0.98,0.85,0.291,0.82,0.845,0.642,0.863,10,10,80,80,45,25,45,55,100,75,224446,45056,54108,41922,58497,3,3,8,7,5,6,6,1,2,2,4,3,6,7,6,7,7,1,1,4,3,2,7,5,6,5,5,1,1,2,5,6,8,9,8,3,3,1,1,1,5,6,8,9,9,4,4,1,1,1,5,6,6,8,7,3,4,1,1,1,4,6,9,9,8,6,3,1,1,1,4,7,9,9,9,7,3,1,1,1,3,6,8,9,6,6,3,1,1,2
22,1,Firefox,M,35,1,2,3,4,5,1,0,0,1,1,1,1,1,1,1,3,7,5,2,4,23,11,13,21,32,8,43,37,41,36,15,10,20,0,30,70,50,50,40,50,80,75,90,95,90,0.49,0.55,0.28,0.27,0.39,0.27,0.28,0.19,0.4,0.25,0.24,0.17,0.53,0.33,0.36,2,1,1,2,3,70,10,20,40,90,0.27,0.55,0.28,0.4,0.36,3,19,15,31,23,0,25,30,45,20,30,45,50,60,60,60,80,95,90,90,0.41,0.31,0.3,0.54,0.34,0.37,0.32,0.3,0.3,0.22,0.22,0.37,0.4,0.16,0.44,3,1,3,1,2,60,25,95,45,60,0.22,0.31,0.4,0.54,0.22,0.063,0.939,0.871,0.204,0.076,0.926,0.436,0.1,0.143,0.56,70,10,,40,90,60,,95,45,60,65169,46355,51544,55581,52662,7,3,1,6,9,2,6,8,3,1,7,5,2,7,9,2,8,9,5,1,9,2,1,8,9,2,8,9,2,1,9,4,7,5,7,1,6,2,5,2,9,5,7,5,8,1,8,3,7,3,9,3,9,4,7,1,7,3,6,2,8,3,7,6,8,1,6,4,3,2,8,3,7,6,8,2,8,6,7,2,8,2,7,6,7,1,7,5,6,2
23,1,Chrome,F,34,1,2,3,4,5,0,0,0,0,1,0,1,1,0,1,2,3,4,8,1,21,23,32,22,12,31,8,36,50,4,0,15,30,20,10,40,70,50,45,35,95,80,90,70,75,0.27,0.49,0.39,0.41,0.5,0.4,0.27,0.25,0.35,0.31,0.33,0.24,0.36,0.24,0.19,2,2,3,2,1,40,70,90,45,10,0.4,0.27,0.36,0.35,0.5,41,3,23,11,11,45,0,20,50,20,60,30,60,75,45,90,60,90,90,70,0.54,0.41,0.34,0.32,0.41,0.3,0.37,0.22,0.5,0.35,0.16,0.22,0.44,0.18,0.24,1,3,2,2,2,45,60,60,75,45,0.54,0.22,0.22,0.5,0.35,0.375,0.653,0.59,0.622,0.763,0.326,0.944,0.876,0.309,0.646,45,,90,75,10,40,60,60,45,45,93449,79560,60097,74951,72005,5,7,9,8,2,6,2,1,2,3,5,5,9,5,2,7,4,1,3,2,3,7,9,7,2,5,5,2,4,3,5,9,7,7,7,4,1,2,2,3,7,8,7,8,8,4,1,2,3,2,7,9,8,8,8,5,2,2,4,3,7,8,7,7,6,4,2,2,2,2,8,8,8,8,2,4,2,2,3,2,8,9,9,8,2,5,2,2,3,8
24,1,Chrome,M,34,1,2,3,4,5,0,1,0,1,0,0,0,1,1,1,7,1,6,8,9,11,12,31,22,22,19,11,21,11,26,10,10,25,20,15,50,35,45,45,50,75,75,80,70,75,0.55,0.5,0.3,0.41,0.24,0.28,0.31,0.3,0.35,0.4,0.17,0.19,0.4,0.24,0.36,1,1,3,2,2,10,10,80,45,50,0.55,0.5,0.4,0.35,0.4,43,4,46,50,29,25,20,55,50,40,45,45,70,75,65,80,70,85,90,100,0.31,0.41,0.26,0.32,0.38,0.32,0.35,0.53,0.5,0.34,0.37,0.24,0.21,0.18,0.28,1,2,1,2,2,25,45,55,75,65,0.31,0.35,0.26,0.5,0.34,0.751,0.313,0.609,0.465,0.084,0.144,0.306,0.753,0.547,0.133,25,45,80,45,50,10,10,55,75,65,58406,50559,43585,49105,33500,3,6,9,7,6,7,3,2,2,3,3,6,9,6,6,7,2,2,3,2,1,4,7,5,5,1,3,1,3,3,2,3,6,7,6,7,7,2,2,2,2,3,6,7,6,9,8,2,2,4,2,3,7,6,7,3,5,2,2,3,3,4,8,7,7,6,6,2,3,2,3,4,7,7,6,8,7,2,2,3,2,3,7,5,5,3,5,2,3,3
25,1,Firefox,M,32,1,2,3,4,5,0,0,1,0,1,1,1,0,1,0,4,5,2,10,7,32,13,21,33,11,36,37,31,9,19,30,20,0,15,10,50,50,40,70,50,90,90,95,80,75,0.39,0.28,0.27,0.45,0.55,0.25,0.19,0.4,0.29,0.28,0.36,0.53,0.33,0.26,0.17,3,1,2,3,1,90,20,40,80,10,0.36,0.28,0.4,0.26,0.55,23,15,41,18,43,20,30,45,25,25,60,50,60,60,45,90,95,90,100,80,0.34,0.3,0.54,0.43,0.31,0.22,0.3,0.3,0.35,0.32,0.44,0.4,0.16,0.22,0.37,2,3,1,3,1,60,95,45,100,25,0.22,0.4,0.54,0.22,0.31,0.191,0.592,0.712,0.997,0.415,0.107,0.914,0.485,0.109,0.853,90,20,45,80,25,60,95,40,100,10,71940,54418,73120,38494,45823,9,4,6,9,6,1,4,3,1,3,9,5,5,9,6,1,6,2,1,3,9,3,6,9,6,1,2,3,1,2,8,9,6,9,6,3,1,3,1,3,6,8,7,9,6,4,1,4,1,3,5,9,7,9,7,2,1,2,1,2,8,8,6,9,6,1,1,3,1,4,7,7,7,9,6,2,3,3,1,4,7,8,7,9,6,2,3,3,1,4
26,1,Firefox,F,47,1,2,3,4,5,1,0,0,1,0,0,1,0,0,1,2,3,5,8,6,21,23,13,22,31,31,8,15,50,21,0,15,20,20,25,40,70,50,45,45,95,80,90,70,80,0.27,0.49,0.28,0.41,0.3,0.4,0.27,0.19,0.35,0.3,0.33,0.24,0.53,0.24,0.4,2,2,1,2,3,40,70,20,45,80,0.4,0.27,0.28,0.35,0.4,41,3,37,11,46,45,0,30,50,55,60,30,50,75,70,90,60,95,90,85,0.54,0.41,0.3,0.32,0.26,0.3,0.37,0.3,0.5,0.53,0.16,0.22,0.4,0.18,0.21,1,3,3,2,1,45,60,95,75,55,0.54,0.22,0.4,0.5,0.26,0.433,0.986,0.958,0.927,0.295,0.815,0.945,0.821,0.017,0.22,45,70,95,75,80,40,60,20,45,55,140467,73286,76704,68075,62849,7,8,9,7,9,3,1,1,3,1,8,8,9,5,9,2,1,1,2,1,6,9,9,6,9,4,1,1,4,1,7,9,6,7,7,1,1,4,2,3,6,9,4,7,6,2,1,8,3,4,8,9,3,6,6,3,1,8,2,2,7,9,7,7,8,2,2,3,3,2,8,8,6,5,6,3,2,4,3,3,7,9,6,6,7,2,1,3,4,2
27,1,Firefox,M,27,1,2,3,4,5,0,1,0,0,0,1,0,1,0,0,2,9,6,1,7,21,22,31,12,11,41,29,21,11,19,0,15,25,10,10,40,50,45,35,50,95,75,80,75,75,0.27,0.24,0.3,0.5,0.55,0.4,0.4,0.3,0.31,0.28,0.33,0.36,0.4,0.19,0.17,2,2,3,1,1,40,50,80,10,10,0.4,0.4,0.4,0.5,0.55,31,26,46,4,43,45,40,55,20,25,60,65,70,45,45,90,100,85,70,80,0.54,0.38,0.26,0.41,0.31,0.3,0.34,0.53,0.35,0.32,0.16,0.28,0.21,0.24,0.37,1,2,1,2,1,45,65,55,45,25,0.54,0.34,0.26,0.35,0.31,0.579,0.507,0.956,0.27,0.204,0.324,0.277,0.412,0.166,0.061,40,40,80,45,25,90,50,85,75,10,54580,45949,45369,52153,47327,5,3,9,7,2,1,5,1,2,7,2,3,1,4,4,2,6,1,2,8,6,2,9,7,2,2,5,1,1,6,9,6,9,9,1,1,2,1,1,9,1,2,1,2,4,1,1,2,1,9,9,6,9,9,1,1,2,1,1,8,6,5,9,9,1,1,3,1,1,9,1,5,2,3,2,1,2,1,1,9,7,4,9,8,1,1,2,1,1,9
28,1,Chrome,M,22,1,2,3,4,5,0,1,0,0,1,1,1,1,1,1,8,6,9,3,2,22,31,22,23,21,11,21,26,8,41,20,25,15,15,0,45,45,50,70,40,70,80,75,80,95,0.41,0.3,0.24,0.49,0.27,0.35,0.3,0.4,0.27,0.4,0.24,0.4,0.36,0.24,0.33,2,3,2,2,2,45,80,50,70,40,0.35,0.4,0.4,0.27,0.4,50,46,29,3,31,50,55,40,0,45,75,70,65,30,60,90,85,100,60,90,0.32,0.26,0.38,0.41,0.54,0.5,0.53,0.34,0.37,0.3,0.18,0.21,0.28,0.22,0.16,2,1,2,3,1,75,55,65,60,45,0.5,0.26,0.34,0.22,0.54,0.201,0.62,0.171,0.22,0.933,0.443,0.634,0.262,0.358,0.256,45,80,,70,40,75,,65,60,45,72664,42507,37585,46467,36776,4,9,7,7,8,6,2,3,3,4,5,8,6,7,7,4,3,4,4,3,6,7,6,7,7,5,3,4,4,3,7,7,7,8,7,3,3,3,2,3,7,6,6,7,6,3,4,3,3,3,7,6,6,8,7,3,3,4,3,3,9,7,7,8,7,1,4,3,3,3,7,6,6,8,7,1,4,4,3,3,8,7,6,7,7,1,4,3,3,3
29,1,Chrome,F,53,1,2,3,4,5,1,1,1,1,1,0,1,0,1,0,5,1,4,10,3,13,12,32,33,23,15,4,23,9,3,20,10,30,15,15,50,35,50,70,70,90,75,90,80,80,0.28,0.5,0.39,0.45,0.49,0.19,0.31,0.25,0.29,0.27,0.53,0.19,0.36,0.26,0.24,1,1,3,3,2,20,10,90,80,70,0.28,0.5,0.36,0.26,0.27,37,11,36,18,8,30,20,20,25,0,50,45,60,60,30,95,70,90,100,60,0.3,0.41,0.34,0.43,0.41,0.3,0.35,0.22,0.35,0.37,0.4,0.24,0.44,0.22,0.22,3,2,2,3,3,95,45,60,100,60,0.4,0.35,0.22,0.22,0.22,0.084,0.621,0.331,0.725,0.526,0.357,0.445,0.984,0.667,0.071,95,10,60,80,60,20,45,90,100,70,90250,69058,55418,49640,39785,6,1,6,7,5,1,8,2,5,5,5,1,6,7,5,1,8,5,4,5,6,1,4,7,5,1,8,4,5,5,1,5,8,8,5,8,5,2,3,5,1,5,8,8,5,8,5,2,3,5,1,5,8,8,5,8,5,3,3,5,6,5,5,5,5,6,5,5,5,5,6,5,5,5,5,6,5,5,5,5,6,5,5,5,5,6,5,5,5,5
30,1,Firefox,M,35,1,2,3,4,5,0,0,0,0,1,0,1,0,0,0,7,2,4,5,8,11,21,32,13,22,19,41,23,15,50,10,0,30,20,20,50,40,50,50,45,75,95,90,90,70,0.55,0.27,0.39,0.28,0.41,0.28,0.4,0.25,0.19,0.35,0.17,0.33,0.36,0.53,0.24,1,2,3,1,2,10,40,90,20,45,0.55,0.4,0.36,0.28,0.35,43,31,36,37,11,25,45,20,30,50,45,60,60,50,75,80,90,90,95,90,0.31,0.54,0.34,0.3,0.32,0.32,0.3,0.22,0.3,0.5,0.37,0.16,0.44,0.4,0.18,1,1,2,3,2,25,45,60,95,75,0.31,0.54,0.22,0.4,0.5,0.58,0.672,0.354,0.395,0.288,0.134,0.168,0.245,0.626,0.171,35,40,60,95,75,10,90,50,90,45,64836,51045,48578,48797,133429,4,5,6,9,6,5,4,4,1,2,5,6,6,8,5,7,4,3,1,4,3,5,5,6,5,5,4,3,1,3,2,8,6,9,6,6,2,3,1,2,2,7,7,6,6,7,2,3,1,6,3,7,5,5,5,5,2,3,1,3,5,7,6,9,7,6,3,3,1,3,3,6,5,8,5,7,4,4,1,6,5,6,5,6,5,7,3,3,1,3
